stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
G2750234,,Station St At Union Lane,-33.75379282,150.69460097,1,,0,,,NSW
G2750238,,Station St After High St,-33.75357677,150.69489378,1,,0,,,NSW
G2750239,,Derby St After Station St,-33.75546958,150.69398249,1,,0,,,NSW
G2750264,,"Nepean Village, Station St",-33.75615832,150.69235053,1,,0,,,NSW
G2756270,,Substation Old Northern Rd,-33.42307740,150.97333398,1,,0,,,NSW
G2756280,,Substation Cattai Rd Near Halcrows Rd,-33.55005421,150.91882394,1,,0,,,NSW
G2756512,,"Lower Portland Fire Station, River Rd",-33.47984018,150.91077251,1,,0,,,NSW
G275662,,Sackville Rd Near Ebenezer Wharf Rd,-33.53871507,150.86970390,1,,0,,,NSW
G276218,,Junction Rd After Station St,-33.69335200,150.87601718,1,,0,,,NSW
G276230,,Railway Tce Opp Station St,-33.69668845,150.87020538,1,,0,,,NSW
G276524,,"Riverstone Ambulance Station, Hamilton St",-33.67236381,150.86914613,1,,0,,,NSW
222210,,Penshurst Station,-33.96620899,151.08884730,1,,0,,,NSW
222310,,Mortdale Station,-33.97104710,151.08100076,1,,0,,,NSW
222320,,Oatley Station,-33.98038470,151.07901413,1,,0,,,NSW
222610,,Como Station,-34.00461939,151.06824108,1,,0,,,NSW
222620,,Jannali Station,-34.01610952,151.06464581,1,,0,,,NSW
256010,,Leumeah Station,-34.05067661,150.83060671,1,,0,,,NSW
256410,,Macquarie Fields Station,-33.98483038,150.87887723,1,,0,,,NSW
256510,,Ingleburn Station,-33.99748219,150.86457694,1,,0,,,NSW
256610,,Minto Station,-34.02744354,150.84249432,1,,0,,,NSW
G2220302,,"Hurstville Fire Station, Butler Rd",-33.96804158,151.10198779,1,,0,,,NSW
G256312,,Cummins Rd Before Station St,-34.10404153,150.74981612,1,,0,,,NSW
G256817,,Station St After Menangle Rd,-34.12705682,150.73890284,1,,0,,,NSW
G256818,,Station St At Menangle Rd,-34.12711006,150.73863428,1,,0,,,NSW
G2570347,,Opp Cawdor Rd Sub Station,-34.07618719,150.67924334,1,,0,,,NSW
200070,,Town Hall Station,-33.87353896,151.20692991,1,,0,,,NSW
214110,,Lidcombe Station,-33.86375583,151.04512981,1,,0,,,NSW
214120,,Berala Station,-33.87178351,151.03252488,1,,0,,,NSW
214310,,Regents Park Station,-33.88319010,151.02401965,1,,0,,,NSW
214410,,Auburn Station,-33.84943010,151.03301684,1,,0,,,NSW
214610,,Toongabbie Station,-33.78738636,150.95144002,1,,0,,,NSW
215020,,Parramatta Station,-33.81749025,151.00532500,1,,0,,,NSW
