stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
vic:rail:NKT,Newmarket Railway Station,-37.78732767,144.92897847,1,,1,,,VIC
vic:rail:NME,North Melbourne Railway Station,-37.80630984,144.94151017,1,,1,,,VIC
vic:rail:NPK,Noble Park Railway Station,-37.96661867,145.17632482,1,,1,,,VIC
vic:rail:NPT,Newport Railway Station,-37.84272637,144.88358830,1,,1,,,VIC
vic:rail:NRM,North Richmond Railway Station,-37.81039836,144.99250026,1,,1,,,VIC
vic:rail:NWA,Narre Warren Railway Station,-38.02777361,145.30399300,1,,1,,,VIC
vic:rail:NWG,Nunawading Railway Station,-37.82061218,145.17489150,1,,1,,,VIC
vic:rail:NWN,North Williamstown Railway Station,-37.85733348,144.88906947,1,,1,,,VIC
vic:rail:OAK,Oakleigh Railway Station,-37.90037214,145.08830787,1,,1,,,VIC
vic:rail:OFC,Officer Railway Station,-38.06614572,145.41098723,1,,1,,,VIC
vic:rail:OKP,Oak Park Railway Station,-37.71794973,144.92151877,1,,1,,,VIC
vic:rail:OMD,Ormond Railway Station,-37.90321167,145.03961342,1,,1,,,VIC
vic:rail:PAR,Parliament Railway Station,-37.81133700,144.97311900,1,,1,,,VIC
vic:rail:PAT,Patterson Railway Station,-37.92514919,145.03547003,1,,1,,,VIC
vic:rail:PKD,Parkdale Railway Station,-37.99307882,145.07632682,1,,1,,,VIC
vic:rail:PKM,Pakenham Railway Station,-38.08061397,145.48637907,1,,1,,,VIC
vic:rail:PKV,Parkville Railway Station,-37.79987386,144.95954246,1,,1,,,VIC
vic:rail:PRA,Prahran Railway Station,-37.84951848,144.98985992,1,,1,,,VIC
vic:rail:PRE,Preston Railway Station,-37.73867424,145.00052198,1,,1,,,VIC
vic:rail:PVL,Pascoe Vale Railway Station,-37.73075596,144.92819562,1,,1,,,VIC
vic:rail:RCE,Flemington Racecourse Railway Station,-37.78721073,144.90757709,1,,1,,,VIC
vic:rail:REG,Regent Railway Station,-37.72840277,145.00277256,1,,1,,,VIC
vic:rail:RES,Reservoir Railway Station,-37.71688492,145.00699582,1,,1,,,VIC
vic:rail:RIP,Ripponlea Railway Station,-37.87596086,144.99525782,1,,1,,,VIC
vic:rail:RIV,Riversdale Railway Station,-37.83150543,145.06964598,1,,1,,,VIC
vic:rail:RMD,Richmond Railway Station,-37.82407446,144.99016426,1,,1,,,VIC
vic:rail:ROS,Rosanna Railway Station,-37.74287860,145.06614029,1,,1,,,VIC
vic:rail:RPK,Royal Park Railway Station,-37.78119293,144.95230127,1,,1,,,VIC
vic:rail:RUS,Rushall Railway Station,-37.78321711,144.99240708,1,,1,,,VIC
vic:rail:RUT,Ruthven Railway Station,-37.70789754,145.00951662,1,,1,,,VIC
vic:rail:RWD,Ringwood Railway Station,-37.81588648,145.22896846,1,,1,,,VIC
vic:rail:RWE,Ringwood East Railway Station,-37.81196804,145.25019091,1,,1,,,VIC
vic:rail:RXP,Roxburgh Park Railway Station,-37.63823121,144.93540368,1,,1,,,VIC
vic:rail:SAB,St Albans Railway Station (St Albans),-37.74486131,144.80005045,1,,1,,,VIC
vic:rail:SEA,Seaford Railway Station,-38.10402104,145.12823040,1,,1,,,VIC
vic:rail:SEN,Seddon Railway Station,-37.80900514,144.89567157,1,,1,,,VIC
vic:rail:SGS,Showgrounds Railway Station,-37.78347220,144.91425689,1,,1,,,VIC
vic:rail:SHE,Seaholme Railway Station,-37.86784231,144.84095773,1,,1,,,VIC
vic:rail:SHM,Sandringham Railway Station,-37.95033018,145.00456136,1,,1,,,VIC
vic:rail:SKN,South Kensington Railway Station,-37.79953087,144.92546901,1,,1,,,VIC
vic:rail:SME,Strathmore Railway Station,-37.74359132,144.92731571,1,,1,,,VIC
vic:rail:SMG,South Morang Railway Station,-37.64905033,145.06701257,1,,1,,,VIC
vic:rail:SNP,Sandown Park Railway Station,-37.95648655,145.16282634,1,,1,,,VIC
vic:rail:SOU,Southland Railway Station,-37.95813507,145.04864786,1,,1,,,VIC
vic:rail:SPG,Springvale Railway Station,-37.94950878,145.15345183,1,,1,,,VIC
vic:rail:SPT,Spotswood Railway Station,-37.83063888,144.88593345,1,,1,,,VIC
vic:rail:SSS,Southern Cross Railway Station,-37.81866310,144.95277706,1,,1,,,VIC
vic:rail:STL,State Library Railway Station,-37.80943693,144.96327750,1,,1,,,VIC
vic:rail:STY,Stony Point Railway Station,-38.37423454,145.22183746,1,,1,,,VIC
vic:rail:SUN,Sunshine Railway Station,-37.78853633,144.83287820,1,,1,,,VIC
vic:rail:SUY,Sunbury Railway Station,-37.57928396,144.72798098,1,,1,,,VIC
vic:rail:SVE,Somerville Railway Station,-38.22534196,145.17624492,1,,1,,,VIC
vic:rail:SYN,Syndal Railway Station,-37.87622062,145.14978071,1,,1,,,VIC
vic:rail:SYR,South Yarra Railway Station,-37.83844935,144.99234221,1,,1,,,VIC
vic:rail:TAB,Tyabb Railway Station,-38.25981500,145.18640071,1,,1,,,VIC
vic:rail:TBY,Thornbury Railway Station,-37.75505179,144.99857152,1,,1,,,VIC
vic:rail:TCM,Tecoma Railway Station,-37.90811849,145.34299458,1,,1,,,VIC
vic:rail:TGA,Tooronga Railway Station,-37.84936553,145.04173374,1,,1,,,VIC
vic:rail:THL,Town Hall Railway Station,-37.81699161,144.96709126,1,,1,,,VIC
vic:rail:TOR,Toorak Railway Station,-37.85077381,145.01390858,1,,1,,,VIC
vic:rail:TOT,Tottenham Railway Station,-37.79925090,144.86294494,1,,1,,,VIC
vic:rail:TSN,Thomastown Railway Station,-37.68033809,145.01427887,1,,1,,,VIC
vic:rail:UFD,Upfield Railway Station,-37.66607779,144.94673994,1,,1,,,VIC
vic:rail:UFG,Upper Ferntree Gully Railway Station,-37.89267170,145.30753019,1,,1,,,VIC
vic:rail:UNN,Union Railway Station ,-37.82315506,145.10034527,1,,1,,,VIC
vic:rail:UPW,Upwey Railway Station,-37.90369097,145.33133336,1,,1,,,VIC
vic:rail:VPK,Victoria Park Railway Station,-37.79915782,144.99445143,1,,1,,,VIC
vic:rail:WAT,Watsonia Railway Station,-37.71095798,145.08379338,1,,1,,,VIC
vic:rail:WBH,Williamstown Beach Railway Station,-37.86398189,144.89448368,1,,1,,,VIC
vic:rail:WER,Werribee Railway Station,-37.89937805,144.66111801,1,,1,,,VIC
vic:rail:WFY,West Footscray Railway Station,-37.80180266,144.88398479,1,,1,,,VIC
vic:rail:WGS,Watergardens Railway Station,-37.70111071,144.77418099,1,,1,,,VIC
vic:rail:WIL,Williamstown Railway Station,-37.86775292,144.90532331,1,,1,,,VIC
vic:rail:WIN,Windsor Railway Station,-37.85605308,144.99203517,1,,1,,,VIC
vic:rail:WLD,Williams Landing Railway Station,-37.86986533,144.74744472,1,,1,,,VIC
vic:rail:WRM,West Richmond Railway Station,-37.81494896,144.99142278,1,,1,,,VIC
vic:rail:WSN,Willison Railway Station,-37.83571565,145.07029756,1,,1,,,VIC
vic:rail:WTG,Westgarth Railway Station,-37.78062070,144.99923319,1,,1,,,VIC
vic:rail:WTL,Westall Railway Station,-37.93847284,145.13881033,1,,1,,,VIC
vic:rail:WTO,Westona Railway Station,-37.86516348,144.81349356,1,,1,,,VIC
vic:rail:WTT,Wattle Glen Railway Station,-37.66396792,145.18161453,1,,1,,,VIC
vic:rail:YMN,Yarraman Railway Station,-37.97825454,145.19160028,1,,1,,,VIC
vic:rail:YVE,Yarraville Railway Station,-37.81585044,144.88993371,1,,1,,,VIC
